method,path,file,line,handler,module,guards,public,roles,kind,svcCall,hasFrontendCaller
GET,/api/iot-sensors/oee,modules/iot/presentation/iot-sensors-main.controller.ts,83,getOee,iot,"",false,...IOT_READ,svc,svc.getOee,true
GET,/api/iot-sensors,modules/iot/presentation/iot-sensors-main.controller.ts,92,listSensors,iot,"",false,...IOT_READ,svc,svc.listSensors,true
GET,/api/iot-sensors/trends,modules/iot/presentation/iot-sensors-main.controller.ts,101,getTrends,iot,"",false,...IOT_READ,svc,svc.getSensorTrends,true
GET,/api/iot-sensors/:id/history,modules/iot/presentation/iot-sensors-main.controller.ts,110,getSensorHistory,iot,"",false,...IOT_READ,svc,svc.getSensorHistory,true
GET,/api/iot-sensors/predictive-maintenance,modules/iot/presentation/iot-sensors-main.controller.ts,122,getPredictiveMaintenance,iot,"",false,...IOT_READ,real?,,true
PATCH,/api/iot-sensors/alerts/:alertId/resolve,modules/iot/presentation/iot-sensors-main.controller.ts,138,resolveAlert,iot,"",false,,svc,svc.createSensor,true
POST,/api/iot-sensors,modules/iot/presentation/iot-sensors-main.controller.ts,151,createSensor,iot,"",false,...IOT_READ,svc,svc.createSensor,true
POST,/api/iot-sensors/alerts/:alertId/resolve,modules/iot/presentation/iot-sensors-main.controller.ts,163,postResolveAlert,iot,"",false,...IOT_READ,real?,,true
GET,/api/iot/devices,modules/iot/presentation/iot-sensors.controller.ts,59,getDevices,iot,"RolesGuard",false,Role.OPERATOR,Role.TECHNOLOGIST,Role.SUPER_ADMIN,svc,queryBus.execute,false
GET,/api/iot/devices/:id,modules/iot/presentation/iot-sensors.controller.ts,74,getDevice,iot,"RolesGuard",false,Role.OPERATOR,Role.TECHNOLOGIST,Role.SUPER_ADMIN,svc,logger.log,false
